First name,Last name,Full name,Party,Government position,Parliamentary phone number,Constituency phone number,Email address
Anna,Turley,Anna Turley,Labour (Co-op),Lord Commissioner (Whip),,,anna.turley.mp@parliament.uk
Matt,Turmaine,Matt Turmaine,Labour,,,,matt.turmaine.mp@parliament.uk
Karl,Turner,Karl Turner,Labour,,,,karl.turner.mp@parliament.uk
Laurence,Turner,Laurence Turner,Labour,,,,laurence.turner.mp@parliament.uk
Derek,Twigg,Derek Twigg,Labour,,,,derek.twigg.mp@parliament.uk
Liz,Twist,Liz Twist,Labour,,,,liz.twist.mp@parliament.uk
Harpreet,Uppal,Harpreet Uppal,Labour,,,,harpreet.uppal.mp@parliament.uk
Freddie,van Mierlo,Freddie van Mierlo,Liberal Democrat,,,,freddie.vanmierlo.mp@parliament.uk
Tony,Vaughan,Tony Vaughan,Labour,,,,tony.vaughan.mp@parliament.uk
Valerie,Vaz,Valerie Vaz,Labour,,,,valerie.vaz.mp@parliament.uk
Martin,Vickers,Martin Vickers,Conservative,,,,martin.vickers.mp@parliament.uk
Matt,Vickers,Matt Vickers,Conservative,,,,matt.vickers.mp@parliament.uk
Chris,Vince,Chris Vince,Labour (Co-op),,,,chris.vince.mp@parliament.uk
Caroline,Voaden,Caroline Voaden,Liberal Democrat,,,,caroline.voaden.mp@parliament.uk
Christian,Wakeford,Christian Wakeford,Labour,Assistant Whip (HM Treasury),,,christian.wakeford.mp@parliament.uk
Imogen,Walker,Imogen Walker,Labour,,,,imogen.walker.mp@parliament.uk
Chris,Ward,Chris Ward,Labour,,,,chris.ward.mp@parliament.uk
Melanie,Ward,Melanie Ward,Labour,,,,melanie.ward.mp@parliament.uk
Paul,Waugh,Paul Waugh,Labour (Co-op),,,,paul.waugh.mp@parliament.uk
Chris,Webb,Chris Webb,Labour,,,,chris.webb.mp@parliament.uk
Michelle,Welsh,Michelle Welsh,Labour,,,,michelle.welsh.mp@parliament.uk
Catherine,West,Catherine West,Labour,Minister for the Indo-Pacific,,,catherine.west.mp@parliament.uk
Andrew,Western,Andrew Western,Labour,Minister for Transformation,,,andrew.western.mp@parliament.uk
Matt,Western,Matt Western,Labour,,,,matt.western.mp@parliament.uk
Helen,Whately,Helen Whately,Conservative,,,,helen.whately.mp@parliament.uk
Michael,Wheeler,Michael Wheeler,Labour,,,,michael.wheeler.mp@parliament.uk
John,Whitby,John Whitby,Labour,,,,john.whitby.mp@parliament.uk
Jo,White,Jo White,Labour,,,,jo.white.mp@parliament.uk
Katie,White,Katie White,Labour,,,,katie.white.mp@parliament.uk
Sir,John Whittingdale,Sir John Whittingdale,Conservative,,,,john.whittingdale.mp@parliament.uk
Nadia,Whittome,Nadia Whittome,Labour,,,,nadia.whittome.mp@parliament.uk
James,Wild,James Wild,Conservative,,,,james.wild.mp@parliament.uk
Max,Wilkinson,Max Wilkinson,Liberal Democrat,,,,max.wilkinson.mp@parliament.uk
David,Williams,David Williams,Labour,,,,david.williams.mp@parliament.uk
Sir,Gavin Williamson,Sir Gavin Williamson,Conservative,,,,gavin.williamson.mp@parliament.uk
Munira,Wilson,Munira Wilson,Liberal Democrat,,,,munira.wilson.mp@parliament.uk
Sammy,Wilson,Sammy Wilson,Democratic Unionist Party,,,,barronj@parliament.uk
Pete,Wishart,Pete Wishart,Scottish National Party,,,,pete.wishart.mp@parliament.uk
Steve,Witherden,Steve Witherden,Labour,,,,steve.witherden.mp@parliament.uk
Mike,Wood,Mike Wood,Conservative,,,,mike.wood.mp@parliament.uk
Sean,Woodcock,Sean Woodcock,Labour,,,,sean.woodcock.mp@parliament.uk
Sir,Jeremy Wright,Sir Jeremy Wright,Conservative,,,,Jeremy.wright.mp@parliament.uk
Rosie,Wrighting,Rosie Wrighting,Labour,,,,rosie.wrighting.mp@parliament.uk
Martin,Wrigley,Martin Wrigley,Liberal Democrat,,,,martin.wrigley.mp@parliament.uk
Yuan,Yang,Yuan Yang,Labour,,,,yuan.yang.mp@parliament.uk
Mohammad,Yasin,Mohammad Yasin,Labour,,,,mohammad.yasin.mp@parliament.uk
Steve,Yemm,Steve Yemm,Labour,,,,steve.yemm.mp@parliament.uk
Claire,Young,Claire Young,Liberal Democrat,,,,claire.young.mp@parliament.uk
Daniel,Zeichner,Daniel Zeichner,Labour,Minister for Food Security and Rural Affairs,,,daniel@danielzeichner.co.uk
