Mark when done ⬇️⬇️⬇️,Phone number (might be a switchboard),Full name,Email sent?,Email address (only if you can't reach them by phone),Party,Priority,Position,Government position,id_parliament,First name,Last name,Parliamentary phone number,Constituency phone number,Constituency email address
Voicemail,020 7219 5353,Lord Glasman,FALSE,contactholmember@parliament.uk,Labour,3,,,4240,Lord,Glasman,020 7219 5353,,
no number available,020 7219 5353,Baroness Gray of Tottenham,FALSE,contactholmember@parliament.uk,Labour,3,,,5396,Baroness,Gray of Tottenham,020 7219 5353,,
only contactable via email,020 7219 5353,Baroness Griffin of Princethorpe,FALSE,griffint@parliament.uk,Labour,3,,,5375,Baroness,Griffin of Princethorpe,020 7219 5353,,
,020 7219 5353,Lord Hacking,FALSE,contactholmember@parliament.uk,Labour,3,,,3580,Lord,Hacking,020 7219 5353,,
,020 7219 5353,Viscount Hanworth,FALSE,pollockd@parliament.uk,Labour,3,,,2648,Viscount,Hanworth,020 7219 5353,,
,020 7219 5353,Baroness Harman,FALSE,harmanh@parliament.uk,Labour,3,,,150,Baroness,Harman,020 7219 5353,,
,020 7219 5353,Lord Haughey,FALSE,contactholmember@parliament.uk,Labour,3,,,4296,Lord,Haughey,020 7219 5353,,
,020 7219 5353,Baroness Hazarika,FALSE,contactholmember@parliament.uk,Labour,3,,,5024,Baroness,Hazarika,020 7219 5353,,
,020 7219 5353,Lord Hendy,FALSE,contactholmember@parliament.uk,Labour,3,,,4723,Lord,Hendy,020 7219 5353,,
,020 7219 5353,Baroness Hodge of Barking,FALSE,contactholmember@parliament.uk,Labour,3,,,140,Baroness,Hodge of Barking,020 7219 5353,,
,020 7219 5353,Lord Hollick,FALSE,contactholmember@parliament.uk,Labour,3,,,2732,Lord,Hollick,020 7219 5353,,
,020 7219 5353,Baroness Jay of Paddington,FALSE,contactholmember@parliament.uk,Labour,3,,,1970,Baroness,Jay of Paddington,020 7219 5353,,
,020 7219 5353,Lord Jones,FALSE,contactholmember@parliament.uk,Labour,3,,,530,Lord,Jones,020 7219 5353,,
,020 7219 5353,Lord Jordan,FALSE,contactholmember@parliament.uk,Labour,3,,,2552,Lord,Jordan,020 7219 5353,,
no phone number to email ,020 7219 5353,Baroness Longfield,FALSE,contactholmember@parliament.uk,Labour,3,,,5392,Baroness,Longfield,020 7219 5353,,
,020 7219 5353,Baroness Mallalieu,FALSE,mallalieua@parliament.uk,Labour,3,,,1846,Baroness,Mallalieu,020 7219 5353,,
,020 7219 5353,Baroness Mattinson,FALSE,contactholmember@parliament.uk,Labour,3,,,5395,Baroness,Mattinson,020 7219 5353,,
Only contactable by email,020 7219 5353,Lord McCabe,FALSE,contactholmember@parliament.uk,Labour,3,,,298,Lord,McCabe,020 7219 5353,,
Voicemail left,020 7219 5353,Lord Mendelsohn,FALSE,contactholmember@parliament.uk,Labour,3,,,4286,Lord,Mendelsohn,020 7219 5353,,
,020 7219 5353,Baroness Morgan of Drefelin,FALSE,contactholmember@parliament.uk,Labour,3,,,3685,Baroness,Morgan of Drefelin,020 7219 5353,,
Left voicemail,020 7219 5353,Baroness Morris of Yardley,FALSE,morrise@parliament.uk,Labour,3,,,305,Baroness,Morris of Yardley,020 7219 5353,,
,020 7219 5353,Baroness Nichols of Selby,FALSE,contactholmember@parliament.uk,Labour,3,,,5393,Baroness,Nichols of Selby,020 7219 5353,,
,020 7219 5353,Baroness Nye,FALSE,contactholmember@parliament.uk,Labour,3,,,4180,Baroness,Nye,020 7219 5353,,
,020 7219 5353,Baroness Osamor,FALSE,contactholmember@parliament.uk,Labour,3,,,4711,Baroness,Osamor,020 7219 5353,,
,020 7219 5353,Lord Parekh,FALSE,contactholmember@parliament.uk,Labour,3,,,2545,Lord,Parekh,020 7219 5353,,
,020 7219 5353,Baroness Primarolo,FALSE,contactholmember@parliament.uk,Labour,3,,,217,Baroness,Primarolo,020 7219 5353,,
unable to be contacted by phone?,020 7219 5353,Baroness Rafferty,FALSE,contactholmember@parliament.uk,Labour,3,,,5400,Baroness,Rafferty,020 7219 5353,,
,020 7219 5353,Baroness Ramsay of Cartvale,FALSE,contactholmember@parliament.uk,Labour,3,,,3276,Baroness,Ramsay of Cartvale,020 7219 5353,,
,020 7219 5353,Baroness Ramsey of Wall Heath,FALSE,contactholmember@parliament.uk,Labour,3,,,5022,Baroness,Ramsey of Wall Heath,020 7219 5353,,
,020 7219 5353,Lord Raval,FALSE,contactholmember@parliament.uk,Labour,3,,,5388,Lord,Raval,020 7219 5353,,
,020 7219 5353,Baroness Rebuck,FALSE,contactholmember@parliament.uk,Labour,3,,,4332,Baroness,Rebuck,020 7219 5353,,
voicemail,020 7219 5353,Lord Rook,FALSE,contactholmember@parliament.uk,Labour,3,,,5378,Lord,Rook,020 7219 5353,,
,020 7219 5353,Lord Sahota,FALSE,contactholmember@parliament.uk,Labour,3,,,4963,Lord,Sahota,020 7219 5353,,
,020 7219 5353,Lord Sawyer,FALSE,contactholmember@parliament.uk,Labour,3,,,2105,Lord,Sawyer,020 7219 5353,,
,020 7219 5353,Baroness Scotland of Asthal,FALSE,contactholmember@parliament.uk,Labour,3,,,2099,Baroness,Scotland of Asthal,020 7219 5353,,
No phone number ,020 7219 5353,Lord Shamash,FALSE,contactholmember@parliament.uk,Labour,3,,,5013,Lord,Shamash,020 7219 5353,,
,020 7219 5353,Lord Sikka,FALSE,contactholmember@parliament.uk,Labour,3,,,4885,Lord,Sikka,020 7219 5353,,
"Fully supportive, will not be voting with the government!!❤️",020 7219 5353,Lord Snape,FALSE,contactholmember@parliament.uk,Labour,3,,,319,Lord,Snape,020 7219 5353,,
Voicemail left ,020 7219 5353,Lord Spellar,FALSE,contactholmember@parliament.uk,Labour,3,,,318,Lord,Spellar,020 7219 5353,,
,020 7219 5353,Viscount Stansgate,FALSE,contactholmember@parliament.uk,Labour,3,,,4925,Viscount,Stansgate,020 7219 5353,,
,020 7219 5353,Baroness Symons of Vernham Dean,FALSE,contactholmember@parliament.uk,Labour,3,,,2233,Baroness,Symons of Vernham Dean,020 7219 5353,,
voicemail left,020 7219 5353,Lord Triesman,FALSE,triesmand@parliament.uk,Labour,3,,,3651,Lord,Triesman,020 7219 5353,,
,020 7219 5353,Baroness Warwick of Undercliffe,FALSE,contactholmember@parliament.uk,Labour,3,,,2471,Baroness,Warwick of Undercliffe,020 7219 5353,,
,020 7219 5353,Baroness Wilcox of Newport,FALSE,contactholmember@parliament.uk,Labour,3,,,4730,Baroness,Wilcox of Newport,020 7219 5353,,
,020 7219 5353,Baroness Winterton of Doncaster,FALSE,contactholmember@parliament.uk,Labour,3,,,390,Baroness,Winterton of Doncaster,020 7219 5353,,
,020 7219 5353,Lord Woodley,FALSE,contactholmember@parliament.uk,Labour,3,,,4897,Lord,Woodley,020 7219 5353,,
left voicemail,020 7219 5353,Baroness Young of Old Scone,FALSE,youngb@parliament.uk,Labour,3,,,1755,Baroness,Young of Old Scone,020 7219 5353,,
,020 7219 5353,Lord Barber of Ainsdale,FALSE,contactholmember@parliament.uk,Labour,3,,,5377,Barber,of Ainsdale,020 7219 5353,,
,020 7219 5353,Lord Brooke of Alverthorpe,FALSE,contactholmember@parliament.uk,Labour,3,,,3335,Brooke,of Alverthorpe,020 7219 5353,,
Spoke directly. Said would follow whip. said I was making good arguments- said these arguments had already been made last night in labour lords meeting or soemthing like that. ,020 7219 5353,Lord Bassam of Brighton,FALSE,bassams@parliament.uk,Labour,3,,,3504,Bassam,of Brighton,020 7219 5353,,
,020 7219 5353,Lord Pitkeathley of Camden Town,FALSE,contactholmember@parliament.uk,Labour,3,,,5384,Pitkeathley,of Camden Town,020 7219 5353,,
,020 7219 5353,Lord Brennan of Canton,FALSE,contactholmember@parliament.uk,Labour,3,,,1400,Brennan,of Canton,020 7219 5353,,
,020 7219 5353,Lord Reid of Cardowan,FALSE,contactholmember@parliament.uk,Labour,3,,,617,Reid,of Cardowan,020 7219 5353,,
,020 7219 5353,Lord Carter of Coles,FALSE,contactholmember@parliament.uk,Labour,3,,,3680,Carter,of Coles,020 7219 5353,,
,020 7219 5353,Lord Rees of Easton,FALSE,contactholmember@parliament.uk,Labour,3,,,5397,Rees,of Easton,020 7219 5353,,
,020 7219 5353,Lord Hannett of Everton,FALSE,contactholmember@parliament.uk,Labour,3,,,5021,Hannett,of Everton,020 7219 5353,,
,020 7219 5353,Lord Smith of Finsbury,FALSE,contactholmember@parliament.uk,Labour,3,,,186,Smith,of Finsbury,020 7219 5353,,
,020 7219 5353,Lord Davidson of Glen Clova,FALSE,contactholmember@parliament.uk,Labour,3,,,3781,Davidson,of Glen Clova,020 7219 5353,,
Voice message,020 7219 5353,Lord Irvine of Lairg,FALSE,contactholmember@parliament.uk,Labour,3,,,1976,Irvine,of Lairg,020 7219 5353,,
Email only - NEY,020 7219 5353,Lord Howarth of Newport,FALSE,contactholmember@parliament.uk,Labour,3,,,544,Howarth,of Newport,020 7219 5353,,
Jonesch@parliament.uk - only contactable by email,020 7219 5353,Lord Jones of Penybont,FALSE,jonesch@parliament.uk,Labour,3,,,5383,Jones,of Penybont,020 7219 5353,,
"Voting for ❌❌ refused to engage citing PA's ""violence"" against British security",020 7219 5353,Lord Robertson of Port Ellen,FALSE,robertsong@parliament.uk,Labour,3,,,672,Robertson,of Port Ellen,020 7219 5353,,
Voicemail,020 7219 5353,Lord West of Spithead,FALSE,westaa@parliament.uk,Labour,3,,,3834,West,of Spithead,020 7219 5353,,
no record,020 7219 5353,Lord Falconer of Thoroton,FALSE,contactholmember@parliament.uk,Labour,3,,,2758,Falconer,of Thoroton,020 7219 5353,,
Only contactable by email,020 7219 5353,Lord Evans of Watford,FALSE,contactholmember@parliament.uk,Labour,3,,,2766,Evans,of Watford,020 7219 5353,,
,020 7219 5353,Lord Faulkner of Worcester,FALSE,contactholmember@parliament.uk,Labour,3,,,2472,Faulkner,of Worcester,020 7219 5353,,
Instantly turned off when called,020 7219 5500,Baroness Morgan of Huyton,FALSE,morgan@parliament.uk,Labour,3,,,2168,Baroness,Morgan of Huyton,020 7219 5500,,
voicemail,020 7219 5880,Baroness Goudie,FALSE,goudie@parliament.uk,Labour,3,,,3575,Baroness,Goudie,020 7219 5880,,
voicemail,020 7219 6193,Lord Murphy of Torfaen,FALSE,murphypp@parliament.uk,Labour,3,,,546,Murphy,of Torfaen,020 7219 6193,,
voicemail left,020 7219 6704,Lord McNicol of West Kilbride,FALSE,mcnicoli@parliament.uk,Labour,3,,,4702,McNicol,of West Kilbride,020 7219 6704,,
,020 7219 6943,Lord Monks,FALSE,monksj@parliament.uk,Labour,3,,,4186,Lord,Monks,020 7219 6943,,
voicemail,020 7219 7500,Lord Goldsmith,FALSE,goldsmithp@parliament.uk,Labour,3,,,2490,Lord,Goldsmith,020 7219 7500,,
voicemail left,020 7219 8130,Lord Mann,FALSE,mannjl@parliament.uk,Labour,3,,,1387,Lord,Mann,020 7219 8130,,
"On the fence; leaning towards govt
own parents were proscribed 70 years ago but has been briefed by ministers",020 7219 8502,Baroness Thornton,FALSE,thorntong@parliament.uk,Labour,3,,,1782,Baroness,Thornton,020 7219 8502,,
voicemail,020 7219 8513,Lord Harris of Haringey,FALSE,harrist@parliament.uk,Labour,3,,,2671,Harris,of Haringey,020 7219 8513,,
Voicemail left ,020 7219 8616,Lord Morgan,FALSE,kenneth.morgan@hotmail.co.uk,Labour,3,,,2555,Lord,Morgan,020 7219 8616,,
,020 7219 8657,Lord Mitchell,FALSE,parrym@parliament.uk,Labour,3,,,2570,Lord,Mitchell,020 7219 8657,,
,020 7219 8731,Lord Watson of Invergowrie,FALSE,watsonm@parliament.uk,Labour,3,,,1241,Watson,of Invergowrie,020 7219 8731,,
,020 7219 8732,Baroness McIntosh of Hudnall,FALSE,mcintoshg@parliament.uk,Labour,3,,,2506,Baroness,McIntosh of Hudnall,020 7219 8732,,
Voicemail,020 7219 8912,Baroness Healy of Primrose Hill,FALSE,healyab@parliament.uk,Labour,3,,,4179,Baroness,Healy of Primrose Hill,020 7219 8912,,
,020 7219 8913,Lord McConnell of Glenscorrodale,FALSE,mcconnellj@parliament.uk,Labour,3,,,4168,McConnell,of Glenscorrodale,020 7219 8913,,
voicemail left,020 7219 8914,Lord Stevenson of Balmacara,FALSE,stevensonw@parliament.uk,Labour,3,,,4175,Stevenson,of Balmacara,020 7219 8914,,
phone rang and cut off- maybe try later,020 7219 8984,Baroness Lister of Burtersett,FALSE,listerr@parliament.uk,Labour,3,,,4234,Baroness,Lister of Burtersett,020 7219 8984,,
Not in house today,020 7766 6065,Lord Allen of Kensington,FALSE,allenc@parliament.uk,Labour,3,,,4304,Allen,of Kensington,020 7766 6065,,
,0207 219 5353,Baroness O'Grady of Upper Holloway,FALSE,contactholmember@parliament.uk,Labour,3,,,4977,Baroness,O'Grady of Upper Holloway,0207 219 5353,,
,0207 219 5353,Lord Watson of Wyre Forest,FALSE,contactholmember@parliament.uk,Labour,3,,,1463,Watson,of Wyre Forest,0207 219 5353,,
Voicemail,0207 219 8209,Lord Knight of Weymouth,FALSE,knightja@parliament.uk,Labour,3,,,4160,Knight,of Weymouth,0207 219 8209,,
,0208 405 8473,Lord Griffiths of Burry Port,FALSE,griffithslj@parliament.uk,Labour,3,,,3707,Griffiths,of Burry Port,0208 405 8473,,
Voicemail,,Lord Kinnock,FALSE,kinnockn@parliament.uk,Labour,3,,,693,Lord,Kinnock,020 7219 8304,,
Voicemail,207 219 6344,Baroness Ritchie of Downpatrick,FALSE,ritchiem@parliament.uk,Labour,3,,,4130,Baroness,Ritchie of Downpatrick,207 219 6344,,
Only contactable by email,Email via contactholmember@parliament.uk subject: for the attention of lord Evan's of sealand ,Lord Evans of Sealand,FALSE,contactholmember@parliament.uk,Labour,3,,,5376,Evans,of Sealand,020 7219 5353,,
,,Baroness Kingsmill,FALSE,contactholmember@parliament.uk,Labour,3,,,3788,Baroness,Kingsmill,020 7219 5353,,
